"STATISTIC","Statistic","TLIST(A1)","Year","C02076V02508","Age","C02447V03042","School Programme","UNIT","VALUE"
"EDA42","Primary Pupils","2003","2003","011","11 years","115","3rd class","Number","143"
"EDA42","Primary Pupils","2003","2003","011","11 years","116","4th class","Number","1605"
"EDA42","Primary Pupils","2003","2003","011","11 years","117","5th class","Number","30065"
"EDA42","Primary Pupils","2003","2003","011","11 years","118","6th class","Number","21473"
"EDA42","Primary Pupils","2003","2003","011","11 years","121","Pupils with special needs in mainstream national schools","Number","1324"
"EDA42","Primary Pupils","2003","2003","011","11 years","122","Pupils in special national schools","Number","545"
"EDA42","Primary Pupils","2003","2003","011","11 years","130","Pupils in private primary schools","Number","732"
"EDA42","Primary Pupils","2003","2003","012","12 years","1","All first level school programmes","Number","34596"
"EDA42","Primary Pupils","2003","2003","012","12 years","11","All mainstream national school programmes","Number","32564"
"EDA42","Primary Pupils","2003","2003","012","12 years","110","All first level education institutions aided by the Department of Education and Skills","Number","34169"
"EDA42","Primary Pupils","2003","2003","012","12 years","111","Junior infants","Number",""
"EDA42","Primary Pupils","2003","2003","012","12 years","112","Senior infants","Number",""
"EDA42","Primary Pupils","2003","2003","012","12 years","113","1st class","Number",""
"EDA42","Primary Pupils","2003","2003","012","12 years","114","2nd class","Number",""
"EDA42","Primary Pupils","2003","2003","012","12 years","115","3rd class","Number","9"
"EDA42","Primary Pupils","2003","2003","012","12 years","116","4th class","Number","118"
"EDA42","Primary Pupils","2003","2003","012","12 years","117","5th class","Number","1948"
"EDA42","Primary Pupils","2003","2003","012","12 years","118","6th class","Number","30489"
"EDA42","Primary Pupils","2003","2003","012","12 years","121","Pupils with special needs in mainstream national schools","Number","1029"
"EDA42","Primary Pupils","2003","2003","012","12 years","122","Pupils in special national schools","Number","576"
"EDA42","Primary Pupils","2003","2003","012","12 years","130","Pupils in private primary schools","Number","427"
"EDA42","Primary Pupils","2003","2003","013","13 years","1","All first level school programmes","Number","3024"
"EDA42","Primary Pupils","2003","2003","013","13 years","11","All mainstream national school programmes","Number","2070"
"EDA42","Primary Pupils","2003","2003","013","13 years","110","All first level education institutions aided by the Department of Education and Skills","Number","3004"
"EDA42","Primary Pupils","2003","2003","013","13 years","111","Junior infants","Number",""
"EDA42","Primary Pupils","2003","2003","013","13 years","112","Senior infants","Number",""
"EDA42","Primary Pupils","2003","2003","013","13 years","113","1st class","Number",""
"EDA42","Primary Pupils","2003","2003","013","13 years","114","2nd class","Number",""
"EDA42","Primary Pupils","2003","2003","013","13 years","115","3rd class","Number",""
"EDA42","Primary Pupils","2003","2003","013","13 years","116","4th class","Number","8"
"EDA42","Primary Pupils","2003","2003","013","13 years","117","5th class","Number","118"
"EDA42","Primary Pupils","2003","2003","013","13 years","118","6th class","Number","1944"
"EDA42","Primary Pupils","2003","2003","013","13 years","121","Pupils with special needs in mainstream national schools","Number","289"
"EDA42","Primary Pupils","2003","2003","013","13 years","122","Pupils in special national schools","Number","645"
"EDA42","Primary Pupils","2003","2003","013","13 years","130","Pupils in private primary schools","Number","20"
"EDA42","Primary Pupils","2003","2003","237","4 years and under","1","All first level school programmes","Number","28002"
"EDA42","Primary Pupils","2003","2003","237","4 years and under","11","All mainstream national school programmes","Number","26810"
"EDA42","Primary Pupils","2003","2003","237","4 years and under","110","All first level education institutions aided by the Department of Education and Skills","Number","27320"
"EDA42","Primary Pupils","2003","2003","237","4 years and under","111","Junior infants","Number","26172"
"EDA42","Primary Pupils","2003","2003","237","4 years and under","112","Senior infants","Number","638"
"EDA42","Primary Pupils","2003","2003","237","4 years and under","113","1st class","Number",""
"EDA42","Primary Pupils","2003","2003","237","4 years and under","114","2nd class","Number",""
"EDA42","Primary Pupils","2003","2003","237","4 years and under","115","3rd class","Number",""
"EDA42","Primary Pupils","2003","2003","237","4 years and under","116","4th class","Number",""
"EDA42","Primary Pupils","2003","2003","237","4 years and under","117","5th class","Number",""
"EDA42","Primary Pupils","2003","2003","237","4 years and under","118","6th class","Number",""
"EDA42","Primary Pupils","2003","2003","237","4 years and under","121","Pupils with special needs in mainstream national schools","Number","345"
"EDA42","Primary Pupils","2003","2003","237","4 years and under","122","Pupils in special national schools","Number","165"
"EDA42","Primary Pupils","2003","2003","237","4 years and under","130","Pupils in private primary schools","Number","682"
"EDA42","Primary Pupils","2003","2003","283","14 years and over","1","All first level school programmes","Number","3164"
"EDA42","Primary Pupils","2003","2003","283","14 years and over","11","All mainstream national school programmes","Number","228"
"EDA42","Primary Pupils","2003","2003","283","14 years and over","110","All first level education institutions aided by the Department of Education and Skills","Number","3161"
"EDA42","Primary Pupils","2003","2003","283","14 years and over","111","Junior infants","Number",""
"EDA42","Primary Pupils","2003","2003","283","14 years and over","112","Senior infants","Number",""
"EDA42","Primary Pupils","2003","2003","283","14 years and over","113","1st class","Number",""
"EDA42","Primary Pupils","2003","2003","283","14 years and over","114","2nd class","Number",""
"EDA42","Primary Pupils","2003","2003","283","14 years and over","115","3rd class","Number",""
"EDA42","Primary Pupils","2003","2003","283","14 years and over","116","4th class","Number",""
"EDA42","Primary Pupils","2003","2003","283","14 years and over","117","5th class","Number","13"
"EDA42","Primary Pupils","2003","2003","283","14 years and over","118","6th class","Number","215"
"EDA42","Primary Pupils","2003","2003","283","14 years and over","121","Pupils with special needs in mainstream national schools","Number","102"
"EDA42","Primary Pupils","2003","2003","283","14 years and over","122","Pupils in special national schools","Number","2831"
"EDA42","Primary Pupils","2003","2003","283","14 years and over","130","Pupils in private primary schools","Number","3"
"EDA42","Primary Pupils","2003","2003","-","All ages","1","All first level school programmes","Number","448754"
"EDA42","Primary Pupils","2003","2003","-","All ages","11","All mainstream national school programmes","Number","427529"
"EDA42","Primary Pupils","2003","2003","-","All ages","110","All first level education institutions aided by the Department of Education and Skills","Number","443720"
"EDA42","Primary Pupils","2003","2003","-","All ages","111","Junior infants","Number","56520"
"EDA42","Primary Pupils","2003","2003","-","All ages","112","Senior infants","Number","54835"
"EDA42","Primary Pupils","2003","2003","-","All ages","113","1st class","Number","52166"
"EDA42","Primary Pupils","2003","2003","-","All ages","114","2nd class","Number","51243"
"EDA42","Primary Pupils","2003","2003","-","All ages","115","3rd class","Number","51226"
"EDA42","Primary Pupils","2003","2003","-","All ages","116","4th class","Number","52068"
"EDA42","Primary Pupils","2003","2003","-","All ages","117","5th class","Number","54476"
"EDA42","Primary Pupils","2003","2003","-","All ages","118","6th class","Number","54995"
"EDA42","Primary Pupils","2003","2003","-","All ages","121","Pupils with special needs in mainstream national schools","Number","9384"
"EDA42","Primary Pupils","2003","2003","-","All ages","122","Pupils in special national schools","Number","6807"
"EDA42","Primary Pupils","2003","2003","-","All ages","130","Pupils in private primary schools","Number","5034"
"EDA42","Primary Pupils","2004","2004","005","5 years","1","All first level school programmes","Number","57215"
"EDA42","Primary Pupils","2004","2004","005","5 years","11","All mainstream national school programmes","Number","55575"
"EDA42","Primary Pupils","2004","2004","005","5 years","110","All first level education institutions aided by the Department of Education and Skills","Number","56632"
"EDA42","Primary Pupils","2004","2004","005","5 years","111","Junior infants","Number","31278"
"EDA42","Primary Pupils","2004","2004","005","5 years","112","Senior infants","Number","24034"
"EDA42","Primary Pupils","2004","2004","005","5 years","113","1st class","Number","261"
"EDA42","Primary Pupils","2004","2004","005","5 years","114","2nd class","Number","2"
"EDA42","Primary Pupils","2004","2004","005","5 years","115","3rd class","Number",""
"EDA42","Primary Pupils","2004","2004","005","5 years","116","4th class","Number",""
"EDA42","Primary Pupils","2004","2004","005","5 years","117","5th class","Number",""
"EDA42","Primary Pupils","2004","2004","005","5 years","118","6th class","Number",""
"EDA42","Primary Pupils","2004","2004","005","5 years","121","Pupils with special needs in mainstream national schools","Number","853"
"EDA42","Primary Pupils","2004","2004","005","5 years","122","Pupils in special national schools","Number","204"
"EDA42","Primary Pupils","2004","2004","005","5 years","130","Pupils in private primary schools","Number","583"
"EDA42","Primary Pupils","2004","2004","006","6 years","1","All first level school programmes","Number","56780"
"EDA42","Primary Pupils","2004","2004","006","6 years","11","All mainstream national school programmes","Number","55009"
"EDA42","Primary Pupils","2004","2004","006","6 years","110","All first level education institutions aided by the Department of Education and Skills","Number","56258"
"EDA42","Primary Pupils","2004","2004","006","6 years","111","Junior infants","Number","665"
"EDA42","Primary Pupils","2004","2004","006","6 years","112","Senior infants","Number","31112"
"EDA42","Primary Pupils","2004","2004","006","6 years","113","1st class","Number","23015"
"EDA42","Primary Pupils","2004","2004","006","6 years","114","2nd class","Number","217"
"EDA42","Primary Pupils","2004","2004","006","6 years","115","3rd class","Number",""
"EDA42","Primary Pupils","2004","2004","006","6 years","116","4th class","Number",""
"EDA42","Primary Pupils","2004","2004","006","6 years","117","5th class","Number",""
"EDA42","Primary Pupils","2004","2004","006","6 years","118","6th class","Number",""
"EDA42","Primary Pupils","2004","2004","006","6 years","121","Pupils with special needs in mainstream national schools","Number","983"
"EDA42","Primary Pupils","2004","2004","006","6 years","122","Pupils in special national schools","Number","266"
"EDA42","Primary Pupils","2004","2004","006","6 years","130","Pupils in private primary schools","Number","522"
"EDA42","Primary Pupils","2004","2004","007","7 years","1","All first level school programmes","Number","55092"
"EDA42","Primary Pupils","2004","2004","007","7 years","11","All mainstream national school programmes","Number","53197"
"EDA42","Primary Pupils","2004","2004","007","7 years","110","All first level education institutions aided by the Department of Education and Skills","Number","54544"
"EDA42","Primary Pupils","2004","2004","007","7 years","111","Junior infants","Number","36"
"EDA42","Primary Pupils","2004","2004","007","7 years","112","Senior infants","Number","818"
"EDA42","Primary Pupils","2004","2004","007","7 years","113","1st class","Number","30486"
"EDA42","Primary Pupils","2004","2004","007","7 years","114","2nd class","Number","21622"
"EDA42","Primary Pupils","2004","2004","007","7 years","115","3rd class","Number","235"
"EDA42","Primary Pupils","2004","2004","007","7 years","116","4th class","Number",""
"EDA42","Primary Pupils","2004","2004","007","7 years","117","5th class","Number",""
"EDA42","Primary Pupils","2004","2004","007","7 years","118","6th class","Number",""
"EDA42","Primary Pupils","2004","2004","007","7 years","121","Pupils with special needs in mainstream national schools","Number","1054"
"EDA42","Primary Pupils","2004","2004","007","7 years","122","Pupils in special national schools","Number","293"
"EDA42","Primary Pupils","2004","2004","007","7 years","130","Pupils in private primary schools","Number","548"
"EDA42","Primary Pupils","2004","2004","008","8 years","1","All first level school programmes","Number","53464"
"EDA42","Primary Pupils","2004","2004","008","8 years","11","All mainstream national school programmes","Number","51379"
"EDA42","Primary Pupils","2004","2004","008","8 years","110","All first level education institutions aided by the Department of Education and Skills","Number","52832"
"EDA42","Primary Pupils","2004","2004","008","8 years","111","Junior infants","Number","2"
"EDA42","Primary Pupils","2004","2004","008","8 years","112","Senior infants","Number","36"
"EDA42","Primary Pupils","2004","2004","008","8 years","113","1st class","Number","971"
"EDA42","Primary Pupils","2004","2004","008","8 years","114","2nd class","Number","29144"
"EDA42","Primary Pupils","2004","2004","008","8 years","115","3rd class","Number","20931"
"EDA42","Primary Pupils","2004","2004","008","8 years","116","4th class","Number","295"
"EDA42","Primary Pupils","2004","2004","008","8 years","117","5th class","Number",""
"EDA42","Primary Pupils","2004","2004","008","8 years","118","6th class","Number",""
"EDA42","Primary Pupils","2004","2004","008","8 years","121","Pupils with special needs in mainstream national schools","Number","1108"
"EDA42","Primary Pupils","2004","2004","008","8 years","122","Pupils in special national schools","Number","345"
"EDA42","Primary Pupils","2004","2004","008","8 years","130","Pupils in private primary schools","Number","632"
"EDA42","Primary Pupils","2004","2004","009","9 years","1","All first level school programmes","Number","52774"
"EDA42","Primary Pupils","2004","2004","009","9 years","11","All mainstream national school programmes","Number","50581"
"EDA42","Primary Pupils","2004","2004","009","9 years","110","All first level education institutions aided by the Department of Education and Skills","Number","52100"
"EDA42","Primary Pupils","2004","2004","009","9 years","111","Junior infants","Number",""
"EDA42","Primary Pupils","2004","2004","009","9 years","112","Senior infants","Number",""
"EDA42","Primary Pupils","2004","2004","009","9 years","113","1st class","Number","35"
"EDA42","Primary Pupils","2004","2004","009","9 years","114","2nd class","Number","1187"
"EDA42","Primary Pupils","2004","2004","009","9 years","115","3rd class","Number","28817"
"EDA42","Primary Pupils","2004","2004","009","9 years","116","4th class","Number","20241"
"EDA42","Primary Pupils","2004","2004","009","9 years","117","5th class","Number","301"
"EDA42","Primary Pupils","2004","2004","009","9 years","118","6th class","Number",""
"EDA42","Primary Pupils","2004","2004","009","9 years","121","Pupils with special needs in mainstream national schools","Number","1120"
"EDA42","Primary Pupils","2004","2004","009","9 years","122","Pupils in special national schools","Number","399"
"EDA42","Primary Pupils","2004","2004","009","9 years","130","Pupils in private primary schools","Number","674"
"EDA42","Primary Pupils","2004","2004","010","10 years","1","All first level school programmes","Number","53931"
"EDA42","Primary Pupils","2004","2004","010","10 years","11","All mainstream national school programmes","Number","51597"
"EDA42","Primary Pupils","2004","2004","010","10 years","110","All first level education institutions aided by the Department of Education and Skills","Number","53207"
"EDA42","Primary Pupils","2004","2004","010","10 years","111","Junior infants","Number",""
"EDA42","Primary Pupils","2004","2004","010","10 years","112","Senior infants","Number",""
"EDA42","Primary Pupils","2004","2004","010","10 years","113","1st class","Number","2"
"EDA42","Primary Pupils","2004","2004","010","10 years","114","2nd class","Number","33"
"EDA42","Primary Pupils","2004","2004","010","10 years","115","3rd class","Number","1523"
"EDA42","Primary Pupils","2004","2004","010","10 years","116","4th class","Number","29080"
"EDA42","Primary Pupils","2004","2004","010","10 years","117","5th class","Number","20487"
"EDA42","Primary Pupils","2004","2004","010","10 years","118","6th class","Number","472"
"EDA42","Primary Pupils","2004","2004","010","10 years","121","Pupils with special needs in mainstream national schools","Number","1164"
"EDA42","Primary Pupils","2004","2004","010","10 years","122","Pupils in special national schools","Number","446"
"EDA42","Primary Pupils","2004","2004","010","10 years","130","Pupils in private primary schools","Number","724"
"EDA42","Primary Pupils","2004","2004","011","11 years","1","All first level school programmes","Number","55124"
"EDA42","Primary Pupils","2004","2004","011","11 years","11","All mainstream national school programmes","Number","52520"
"EDA42","Primary Pupils","2004","2004","011","11 years","110","All first level education institutions aided by the Department of Education and Skills","Number","54358"
"EDA42","Primary Pupils","2004","2004","011","11 years","111","Junior infants","Number",""
"EDA42","Primary Pupils","2004","2004","011","11 years","112","Senior infants","Number",""
"EDA42","Primary Pupils","2004","2004","011","11 years","113","1st class","Number",""
"EDA42","Primary Pupils","2004","2004","011","11 years","114","2nd class","Number","4"
"EDA42","Primary Pupils","2004","2004","011","11 years","115","3rd class","Number","57"
"EDA42","Primary Pupils","2004","2004","011","11 years","116","4th class","Number","1654"
"EDA42","Primary Pupils","2004","2004","011","11 years","117","5th class","Number","29817"
"EDA42","Primary Pupils","2004","2004","011","11 years","118","6th class","Number","20988"
"EDA42","Primary Pupils","2004","2004","011","11 years","121","Pupils with special needs in mainstream national schools","Number","1303"
"EDA42","Primary Pupils","2004","2004","011","11 years","122","Pupils in special national schools","Number","535"
"EDA42","Primary Pupils","2004","2004","011","11 years","130","Pupils in private primary schools","Number","766"
"EDA42","Primary Pupils","2004","2004","012","12 years","1","All first level school programmes","Number","34719"
"EDA42","Primary Pupils","2004","2004","012","12 years","11","All mainstream national school programmes","Number","32627"
"EDA42","Primary Pupils","2004","2004","012","12 years","110","All first level education institutions aided by the Department of Education and Skills","Number","34230"
"EDA42","Primary Pupils","2004","2004","012","12 years","111","Junior infants","Number",""
"EDA42","Primary Pupils","2004","2004","012","12 years","112","Senior infants","Number",""
"EDA42","Primary Pupils","2004","2004","012","12 years","113","1st class","Number",""
"EDA42","Primary Pupils","2004","2004","012","12 years","114","2nd class","Number","1"
"EDA42","Primary Pupils","2004","2004","012","12 years","115","3rd class","Number","4"
"EDA42","Primary Pupils","2004","2004","012","12 years","116","4th class","Number","50"
"EDA42","Primary Pupils","2004","2004","012","12 years","117","5th class","Number","1729"
"EDA42","Primary Pupils","2004","2004","012","12 years","118","6th class","Number","30843"
"EDA42","Primary Pupils","2004","2004","012","12 years","121","Pupils with special needs in mainstream national schools","Number","1034"
"EDA42","Primary Pupils","2004","2004","012","12 years","122","Pupils in special national schools","Number","569"
"EDA42","Primary Pupils","2004","2004","012","12 years","130","Pupils in private primary schools","Number","489"
"EDA42","Primary Pupils","2004","2004","013","13 years","1","All first level school programmes","Number","3131"
"EDA42","Primary Pupils","2004","2004","013","13 years","11","All mainstream national school programmes","Number","2204"
"EDA42","Primary Pupils","2004","2004","013","13 years","110","All first level education institutions aided by the Department of Education and Skills","Number","3102"
"EDA42","Primary Pupils","2004","2004","013","13 years","111","Junior infants","Number",""
"EDA42","Primary Pupils","2004","2004","013","13 years","112","Senior infants","Number",""
"EDA42","Primary Pupils","2004","2004","013","13 years","113","1st class","Number",""
"EDA42","Primary Pupils","2004","2004","013","13 years","114","2nd class","Number","1"
"EDA42","Primary Pupils","2004","2004","013","13 years","115","3rd class","Number",""
"EDA42","Primary Pupils","2004","2004","013","13 years","116","4th class","Number","3"
"EDA42","Primary Pupils","2004","2004","013","13 years","117","5th class","Number","66"
"EDA42","Primary Pupils","2004","2004","013","13 years","118","6th class","Number","2134"
"EDA42","Primary Pupils","2004","2004","013","13 years","121","Pupils with special needs in mainstream national schools","Number","274"
"EDA42","Primary Pupils","2004","2004","013","13 years","122","Pupils in special national schools","Number","624"
"EDA42","Primary Pupils","2004","2004","013","13 years","130","Pupils in private primary schools","Number","29"
"EDA42","Primary Pupils","2004","2004","237","4 years and under","1","All first level school programmes","Number","26467"
"EDA42","Primary Pupils","2004","2004","237","4 years and under","11","All mainstream national school programmes","Number","25169"
"EDA42","Primary Pupils","2004","2004","237","4 years and under","110","All first level education institutions aided by the Department of Education and Skills","Number","25708"
"EDA42","Primary Pupils","2004","2004","237","4 years and under","111","Junior infants","Number","25073"
"EDA42","Primary Pupils","2004","2004","237","4 years and under","112","Senior infants","Number","96"
"EDA42","Primary Pupils","2004","2004","237","4 years and under","113","1st class","Number",""
"EDA42","Primary Pupils","2004","2004","237","4 years and under","114","2nd class","Number",""
"EDA42","Primary Pupils","2004","2004","237","4 years and under","115","3rd class","Number",""
"EDA42","Primary Pupils","2004","2004","237","4 years and under","116","4th class","Number",""
"EDA42","Primary Pupils","2004","2004","237","4 years and under","117","5th class","Number",""
"EDA42","Primary Pupils","2004","2004","237","4 years and under","118","6th class","Number",""
"EDA42","Primary Pupils","2004","2004","237","4 years and under","121","Pupils with special needs in mainstream national schools","Number","363"
"EDA42","Primary Pupils","2004","2004","237","4 years and under","122","Pupils in special national schools","Number","176"
"EDA42","Primary Pupils","2004","2004","237","4 years and under","130","Pupils in private primary schools","Number","759"
"EDA42","Primary Pupils","2004","2004","283","14 years and over","1","All first level school programmes","Number","3058"
"EDA42","Primary Pupils","2004","2004","283","14 years and over","11","All mainstream national school programmes","Number","113"
"EDA42","Primary Pupils","2004","2004","283","14 years and over","110","All first level education institutions aided by the Department of Education and Skills","Number","3058"
"EDA42","Primary Pupils","2004","2004","283","14 years and over","111","Junior infants","Number",""
"EDA42","Primary Pupils","2004","2004","283","14 years and over","112","Senior infants","Number",""
"EDA42","Primary Pupils","2004","2004","283","14 years and over","113","1st class","Number",""
"EDA42","Primary Pupils","2004","2004","283","14 years and over","114","2nd class","Number",""
"EDA42","Primary Pupils","2004","2004","283","14 years and over","115","3rd class","Number",""
"EDA42","Primary Pupils","2004","2004","283","14 years and over","116","4th class","Number",""
"EDA42","Primary Pupils","2004","2004","283","14 years and over","117","5th class","Number","5"
"EDA42","Primary Pupils","2004","2004","283","14 years and over","118","6th class","Number","108"
"EDA42","Primary Pupils","2004","2004","283","14 years and over","121","Pupils with special needs in mainstream national schools","Number","84"
"EDA42","Primary Pupils","2004","2004","283","14 years and over","122","Pupils in special national schools","Number","2861"
"EDA42","Primary Pupils","2004","2004","283","14 years and over","130","Pupils in private primary schools","Number",""
"EDA42","Primary Pupils","2004","2004","-","All ages","1","All first level school programmes","Number","451755"
"EDA42","Primary Pupils","2004","2004","-","All ages","11","All mainstream national school programmes","Number","429971"
"EDA42","Primary Pupils","2004","2004","-","All ages","110","All first level education institutions aided by the Department of Education and Skills","Number","446029"
"EDA42","Primary Pupils","2004","2004","-","All ages","111","Junior infants","Number","57054"
"EDA42","Primary Pupils","2004","2004","-","All ages","112","Senior infants","Number","56096"
"EDA42","Primary Pupils","2004","2004","-","All ages","113","1st class","Number","54770"
"EDA42","Primary Pupils","2004","2004","-","All ages","114","2nd class","Number","52211"
"EDA42","Primary Pupils","2004","2004","-","All ages","115","3rd class","Number","51567"
"EDA42","Primary Pupils","2004","2004","-","All ages","116","4th class","Number","51323"
"EDA42","Primary Pupils","2004","2004","-","All ages","117","5th class","Number","52405"
"EDA42","Primary Pupils","2004","2004","-","All ages","118","6th class","Number","54545"
"EDA42","Primary Pupils","2004","2004","-","All ages","121","Pupils with special needs in mainstream national schools","Number","9340"
"EDA42","Primary Pupils","2004","2004","-","All ages","122","Pupils in special national schools","Number","6718"
"EDA42","Primary Pupils","2004","2004","-","All ages","130","Pupils in private primary schools","Number","5726"
"EDA42","Primary Pupils","2005","2005","005","5 years","1","All first level school programmes","Number","56865"
"EDA42","Primary Pupils","2005","2005","005","5 years","11","All mainstream national school programmes","Number","55268"
"EDA42","Primary Pupils","2005","2005","005","5 years","110","All first level education institutions aided by the Department of Education and Skills","Number","56267"
"EDA42","Primary Pupils","2005","2005","005","5 years","111","Junior infants","Number","31217"
"EDA42","Primary Pupils","2005","2005","005","5 years","112","Senior infants","Number","23939"
"EDA42","Primary Pupils","2005","2005","005","5 years","113","1st class","Number","112"
"EDA42","Primary Pupils","2005","2005","005","5 years","114","2nd class","Number",""
"EDA42","Primary Pupils","2005","2005","005","5 years","115","3rd class","Number",""
"EDA42","Primary Pupils","2005","2005","005","5 years","116","4th class","Number",""
"EDA42","Primary Pupils","2005","2005","005","5 years","117","5th class","Number",""
"EDA42","Primary Pupils","2005","2005","005","5 years","118","6th class","Number",""
"EDA42","Primary Pupils","2005","2005","005","5 years","121","Pupils with special needs in mainstream national schools","Number","816"
"EDA42","Primary Pupils","2005","2005","005","5 years","122","Pupils in special national schools","Number","183"
"EDA42","Primary Pupils","2005","2005","005","5 years","130","Pupils in private primary schools","Number","598"
"EDA42","Primary Pupils","2005","2005","006","6 years","1","All first level school programmes","Number","58322"
"EDA42","Primary Pupils","2005","2005","006","6 years","11","All mainstream national school programmes","Number","56380"
"EDA42","Primary Pupils","2005","2005","006","6 years","110","All first level education institutions aided by the Department of Education and Skills","Number","57665"
"EDA42","Primary Pupils","2005","2005","006","6 years","111","Junior infants","Number","671"
"EDA42","Primary Pupils","2005","2005","006","6 years","112","Senior infants","Number","32187"
"EDA42","Primary Pupils","2005","2005","006","6 years","113","1st class","Number","23328"
"EDA42","Primary Pupils","2005","2005","006","6 years","114","2nd class","Number","194"
"EDA42","Primary Pupils","2005","2005","006","6 years","115","3rd class","Number",""
"EDA42","Primary Pupils","2005","2005","006","6 years","116","4th class","Number",""
"EDA42","Primary Pupils","2005","2005","006","6 years","117","5th class","Number",""
"EDA42","Primary Pupils","2005","2005","006","6 years","118","6th class","Number",""
"EDA42","Primary Pupils","2005","2005","006","6 years","121","Pupils with special needs in mainstream national schools","Number","1009"
"EDA42","Primary Pupils","2005","2005","006","6 years","122","Pupils in special national schools","Number","276"
"EDA42","Primary Pupils","2005","2005","006","6 years","130","Pupils in private primary schools","Number","657"
"EDA42","Primary Pupils","2005","2005","007","7 years","1","All first level school programmes","Number","57596"
"EDA42","Primary Pupils","2005","2005","007","7 years","11","All mainstream national school programmes","Number","55637"
"EDA42","Primary Pupils","2005","2005","007","7 years","110","All first level education institutions aided by the Department of Education and Skills","Number","56982"
"EDA42","Primary Pupils","2005","2005","007","7 years","111","Junior infants","Number","28"
"EDA42","Primary Pupils","2005","2005","007","7 years","112","Senior infants","Number","922"
"EDA42","Primary Pupils","2005","2005","007","7 years","113","1st class","Number","31658"
"EDA42","Primary Pupils","2005","2005","007","7 years","114","2nd class","Number","22822"
"EDA42","Primary Pupils","2005","2005","007","7 years","115","3rd class","Number","207"
"EDA42","Primary Pupils","2005","2005","007","7 years","116","4th class","Number",""
"EDA42","Primary Pupils","2005","2005","007","7 years","117","5th class","Number",""
"EDA42","Primary Pupils","2005","2005","007","7 years","118","6th class","Number",""
"EDA42","Primary Pupils","2005","2005","007","7 years","121","Pupils with special needs in mainstream national schools","Number","1054"
"EDA42","Primary Pupils","2005","2005","007","7 years","122","Pupils in special national schools","Number","291"
"EDA42","Primary Pupils","2005","2005","007","7 years","130","Pupils in private primary schools","Number","614"
"EDA42","Primary Pupils","2005","2005","008","8 years","1","All first level school programmes","Number","55551"
"EDA42","Primary Pupils","2005","2005","008","8 years","11","All mainstream national school programmes","Number","53401"
"EDA42","Primary Pupils","2005","2005","008","8 years","110","All first level education institutions aided by the Department of Education and Skills","Number","54857"
"EDA42","Primary Pupils","2005","2005","008","8 years","111","Junior infants","Number","1"
"EDA42","Primary Pupils","2005","2005","008","8 years","112","Senior infants","Number","30"
"EDA42","Primary Pupils","2005","2005","008","8 years","113","1st class","Number","1007"
"EDA42","Primary Pupils","2005","2005","008","8 years","114","2nd class","Number","30733"
"EDA42","Primary Pupils","2005","2005","008","8 years","115","3rd class","Number","21401"
"EDA42","Primary Pupils","2005","2005","008","8 years","116","4th class","Number","228"
"EDA42","Primary Pupils","2005","2005","008","8 years","117","5th class","Number","1"
"EDA42","Primary Pupils","2005","2005","008","8 years","118","6th class","Number",""
"EDA42","Primary Pupils","2005","2005","008","8 years","121","Pupils with special needs in mainstream national schools","Number","1104"
"EDA42","Primary Pupils","2005","2005","008","8 years","122","Pupils in special national schools","Number","352"
"EDA42","Primary Pupils","2005","2005","008","8 years","130","Pupils in private primary schools","Number","694"
"EDA42","Primary Pupils","2005","2005","009","9 years","1","All first level school programmes","Number","53964"
"EDA42","Primary Pupils","2005","2005","009","9 years","11","All mainstream national school programmes","Number","51650"
"EDA42","Primary Pupils","2005","2005","009","9 years","110","All first level education institutions aided by the Department of Education and Skills","Number","53233"
"EDA42","Primary Pupils","2005","2005","009","9 years","111","Junior infants","Number",""
"EDA42","Primary Pupils","2005","2005","009","9 years","112","Senior infants","Number","3"
"EDA42","Primary Pupils","2005","2005","009","9 years","113","1st class","Number","25"
"EDA42","Primary Pupils","2005","2005","009","9 years","114","2nd class","Number","1080"
"EDA42","Primary Pupils","2005","2005","009","9 years","115","3rd class","Number","29469"
"EDA42","Primary Pupils","2005","2005","009","9 years","116","4th class","Number","20756"
"EDA42","Primary Pupils","2005","2005","009","9 years","117","5th class","Number","317"
"EDA42","Primary Pupils","2005","2005","009","9 years","118","6th class","Number",""
"EDA42","Primary Pupils","2005","2005","009","9 years","121","Pupils with special needs in mainstream national schools","Number","1179"
"EDA42","Primary Pupils","2005","2005","009","9 years","122","Pupils in special national schools","Number","404"
"EDA42","Primary Pupils","2005","2005","009","9 years","130","Pupils in private primary schools","Number","731"
"EDA42","Primary Pupils","2005","2005","010","10 years","1","All first level school programmes","Number","53561"
"EDA42","Primary Pupils","2005","2005","010","10 years","11","All mainstream national school programmes","Number","51090"
"EDA42","Primary Pupils","2005","2005","010","10 years","110","All first level education institutions aided by the Department of Education and Skills","Number","52743"
"EDA42","Primary Pupils","2005","2005","010","10 years","111","Junior infants","Number",""
"EDA42","Primary Pupils","2005","2005","010","10 years","112","Senior infants","Number",""
"EDA42","Primary Pupils","2005","2005","010","10 years","113","1st class","Number","1"
"EDA42","Primary Pupils","2005","2005","010","10 years","114","2nd class","Number","30"
"EDA42","Primary Pupils","2005","2005","010","10 years","115","3rd class","Number","1269"
"EDA42","Primary Pupils","2005","2005","010","10 years","116","4th class","Number","29243"
"EDA42","Primary Pupils","2005","2005","010","10 years","117","5th class","Number","20140"
